time,flow_model,flow_meter,rain
6/1/2015 0:00,3.80489,,
6/1/2015 0:05,3.78032,,
6/1/2015 0:10,3.75499,,
6/1/2015 0:15,3.72887,,
6/1/2015 0:20,3.70147,,
6/1/2015 0:25,3.67309,,
6/1/2015 0:30,3.64428,,
6/1/2015 0:35,3.61494,,
6/1/2015 0:40,3.58371,,
6/1/2015 0:45,3.55012,,
6/1/2015 0:50,3.51561,,
6/1/2015 0:55,3.48106,,
6/1/2015 1:00,3.44669,,
6/1/2015 1:05,3.41306,,
6/1/2015 1:10,3.38011,,
6/1/2015 1:15,3.34753,,
6/1/2015 1:20,3.31587,,
6/1/2015 1:25,3.285,,
6/1/2015 1:30,3.25464,,
6/1/2015 1:35,3.22497,,
6/1/2015 1:40,3.19736,,
6/1/2015 1:45,3.17277,,
6/1/2015 1:50,3.15,,
6/1/2015 1:55,3.12784,,
6/1/2015 2:00,3.10592,,
6/1/2015 2:05,3.08483,,
6/1/2015 2:10,3.06486,,
6/1/2015 2:15,3.04595,,
6/1/2015 2:20,3.02855,,
6/1/2015 2:25,3.0123,,
6/1/2015 2:30,2.99651,,
6/1/2015 2:35,2.98083,,
6/1/2015 2:40,2.96611,,
6/1/2015 2:45,2.95395,,
6/1/2015 2:50,2.94382,,
6/1/2015 2:55,2.9341,,
6/1/2015 3:00,2.92426,,
6/1/2015 3:05,2.91513,,
6/1/2015 3:10,2.90709,,
6/1/2015 3:15,2.90012,,
6/1/2015 3:20,2.895,,
6/1/2015 3:25,2.89143,,
6/1/2015 3:30,2.88867,,
6/1/2015 3:35,2.8863,,
6/1/2015 3:40,2.88523,,
6/1/2015 3:45,2.88791,,
6/1/2015 3:50,2.89464,,
6/1/2015 3:55,2.90289,,
6/1/2015 4:00,2.91143,,
6/1/2015 4:05,2.92141,,
6/1/2015 4:10,2.93351,,
6/1/2015 4:15,2.94774,,
6/1/2015 4:20,2.96526,,
6/1/2015 4:25,2.98573,,
6/1/2015 4:30,3.00814,,
6/1/2015 4:35,3.03185,,
6/1/2015 4:40,3.05863,,
6/1/2015 4:45,3.09214,,
6/1/2015 4:50,3.13102,,
6/1/2015 4:55,3.17126,,
6/1/2015 5:00,3.21175,,
6/1/2015 5:05,3.25385,,
6/1/2015 5:10,3.29809,,
6/1/2015 5:15,3.34446,,
6/1/2015 5:20,3.39424,,
6/1/2015 5:25,3.44669,,
6/1/2015 5:30,3.50054,,
6/1/2015 5:35,3.55565,,
6/1/2015 5:40,3.61558,,
6/1/2015 5:45,3.68237,,
6/1/2015 5:50,3.75088,,
6/1/2015 5:55,3.81865,,
6/1/2015 6:00,3.88511,,
6/1/2015 6:05,3.94976,,
6/1/2015 6:10,4.0127,,
6/1/2015 6:15,4.07411,,
6/1/2015 6:20,4.13316,,
6/1/2015 6:25,4.19022,,
6/1/2015 6:30,4.24643,,
6/1/2015 6:35,4.3023,,
6/1/2015 6:40,4.35588,,
6/1/2015 6:45,4.40573,,
6/1/2015 6:50,4.45383,,
6/1/2015 6:55,4.50188,,
6/1/2015 7:00,4.55011,,
6/1/2015 7:05,4.59585,,
6/1/2015 7:10,4.63774,,
6/1/2015 7:15,4.67529,,
6/1/2015 7:20,4.70628,,
6/1/2015 7:25,4.7326,,
6/1/2015 7:30,4.7563,,
6/1/2015 7:35,4.77528,,
6/1/2015 7:40,4.78199,,
6/1/2015 7:45,4.77817,,
6/1/2015 7:50,4.77157,,
6/1/2015 7:55,4.76471,,
6/1/2015 8:00,4.75785,,
6/1/2015 8:05,4.75032,,
6/1/2015 8:10,4.74181,,
6/1/2015 8:15,4.73219,,
6/1/2015 8:20,4.72096,,
6/1/2015 8:25,4.70857,,
6/1/2015 8:30,4.69558,,
6/1/2015 8:35,4.68167,,
6/1/2015 8:40,4.66527,,
6/1/2015 8:45,4.6464,,
6/1/2015 8:50,4.62681,,
6/1/2015 8:55,4.60723,,
6/1/2015 9:00,4.58775,,
6/1/2015 9:05,4.56904,,
6/1/2015 9:10,4.55147,,
6/1/2015 9:15,4.53516,,
6/1/2015 9:20,4.52066,,
6/1/2015 9:25,4.50751,,
6/1/2015 9:30,4.49503,,
6/1/2015 9:35,4.48332,,
6/1/2015 9:40,4.4739,,
6/1/2015 9:45,4.46746,,
6/1/2015 9:50,4.46231,,
6/1/2015 9:55,4.45737,,
6/1/2015 10:00,4.45243,,
6/1/2015 10:05,4.44754,,
6/1/2015 10:10,4.44272,,
6/1/2015 10:15,4.43798,,
6/1/2015 10:20,4.43334,,
6/1/2015 10:25,4.42879,,
6/1/2015 10:30,4.42428,,
6/1/2015 10:35,4.41981,,
6/1/2015 10:40,4.41548,,
